編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2316,楠梓電,電子零組件業,2.55,6.31,0.78|0.45|0.39|0.57|,1.83,16.99,0.5,0,1.16,7.02,3.73,16.57,31.1,42.85,47.62,23.25|18.74|16.47|28.32|30.85|,2020/8,N,N,N
2317,鴻海,其他電子業,8.32,8.3,2.21|3.45|0.15|1.65|,4.3,18.4,4.2,0,1.93,3.35,2.44,27.57,79.1,72.97,57.74,81.32|102.94|82.63|78.4|79.32|,2020/8,N,N,N
2323,中環,未知,0.25,0.25,-0.22|0.12|-1.12|0.97|,-0.35,-23.23,0.2,0,-0.28,2.62,-3.44,-4,8.13,28.59,39.92,3.6|4.04|6.68|8.03|7.81|,2020/8,N,N,N
2324,仁寶,未知,1.6,1.77,0.41|0.47|0.14|0.46|,1.32,14.73,1.2,0,0.97,4.72,4.99,13.86,19.45,45.22,46.04,19.24|20.51|19.16|18.79|18.62|,2020/8,N,N,N
2327,國巨,電子零組件業,16.21,24.24,4.81|2.09|5.51|7.01|,31.1,11.43,13.06,0,26.41,5.11,7.43,377.29,355.5,82.38,75.31,57.32|155.09|583.62|299.37|376.53|,2020/8,Y,Y,N
2328,廣宇,電子零組件業,1.99,1.66,1.05|0.09|0.04|0.3|,0.52,34.81,1,0,0.28,3.73,1.55,4,18.1,36.13,36.87,17.8|27.06|21.27|23.46|18.77|,2020/8,N,N,N
2329,華泰,半導體業,1.06,1.06,0.45|0.08|0.02|-0.5|,-0.92,-12.07,0.15,0,-0.13,1.35,-1.17,-1.86,11.1,48.5,38.03,12.15|9.63|9.53|15.34|11.87|,2020/8,N,N,N
2330,台積電,半導體業,13.32,12.96,3.9|4.48|4.51|4.66|,20.66,21.54,2.5,0,8.5,1.72,1.91,121.43,445,68.46,50.67,166.44|210.15|237.4|261.73|337.34|,2020/8,N,N,N
2337,旺宏,半導體業,1.64,3.21,1.01|0.41|0.67|0.72|,3.19,10.14,1.19,0,1.38,3.63,4.27,19.71,32.35,72.22,72.85,3.89|25.91|35.97|26.43|32.65|,2020/8,N,Y,N
2338,光罩,半導體業,2.19,1.02,0.66|0.62|-1.09|0.66|,-2.89,-10.19,1,0,-0.92,3.34,-3.12,-13.14,29.45,27.64,42.87,8.7|16.03|23.69|26.89|28.6|,2020/8,N,N,N
2344,華邦電,半導體業,0.32,1.09,0.15|-0.05|-0.02|0.18|,0.34,40,0.1,0,0.16,2.62,1.18,2.29,13.6,83.47,79.78,9.32|19.5|17.82|16.31|14.1|,2020/8,N,N,N
2345,智邦,未知,8.91,4.92,3.12|1.94|1.86|2.07|,8.44,26.13,6.19,0,7.03,2.78,3.19,100.43,220.5,19.34,24.81,42.4|78.61|95.64|140.4|204.61|,2020/8,N,N,Y
2347,聯強,電子通路業,4.09,3.31,0.97|1.17|1.08|1.07|,4.6,9.22,2.6,0,3,4.01,7.08,42.86,42.4,22.12,22.11,33.55|35.08|40.62|37.44|40.56|,2020/8,Y,N,Y
2351,順德,半導體業,2.7,3.67,0.69|0.31|0.27|0.38|,1.42,40.35,1.8,0,0.88,3.18,1.54,12.57,57.3,79.2,76.91,36.27|63.56|78.51|66.61|50.25|,2020/8,N,N,N
2352,佳世達,未知,1.82,1.97,0.51|0.33|0.12|0.48|,1.43,13.57,0.75,0,0.67,3.7,3.45,9.57,19.4,42.78,49.75,11.93|20.46|20.46|20.41|17.92|,2020/8,N,N,N
2353,宏碁,未知,0.87,0.28,0.39|0.12|0.18|0.4|,1.37,19.09,0.78,0,1.26,2.91,4.82,18,26.15,80.78,75.68,13.28|15.95|23.84|18.82|17.99|,2020/8,N,N,N
2354,鴻準,其他電子業,5.04,6.96,1.88|1.26|0.35|1.03|,3.79,14.04,2.5,0,1.72,3.41,3.23,24.57,53.2,44.17,40.16,77.2|90.64|74.04|64.14|55.97|,2020/8,N,N,N
2355,敬鵬,電子零組件業,1.66,3.42,0.8|0.45|0.06|-0.27|,-0.41,-65,1,0,-0.27,3.62,-1.01,-3.86,26.65,60.01,60.67,63.57|59.74|42.47|34.63|26.41|,2020/8,N,N,N
2356,英業達,未知,1.54,1.67,0.3|0.39|0.85|0.46|,3.03,7.57,1.3,0,2.66,4.58,11.59,38,22.95,44.45,39.83,23|23.4|24|23.1|23.71|,2020/8,Y,N,N
2357,華碩,未知,16.34,18.37,7.58|3.55|1.2|7.15|,16.97,15.11,14,0,17.43,4.59,6.8,249,256.5,70.89,58.86,274.18|273.86|257.81|220.12|217.14|,2020/8,N,N,N
2359,所羅門,其他電子業,1.86,1.39,0.46|0.28|0.1|0.21|,0.6,31.58,0.8,0,0.61,4.89,3.22,8.71,18.95,18.76,25.15,14.91|19.45|21.41|20.85|19.14|,2020/8,N,N,Y
2360,致茂,其他電子業,4.48,4.98,1.16|1.45|1.13|1.4|,5.99,26.71,3.01,0,4.22,1.93,2.64,60.29,160,39.01,30.64,75.7|108.05|152.97|140.71|146.04|,2020/8,N,N,N
2362,藍天,未知,1.75,1.54,0.75|-0.26|-0.32|0.5|,0.37,82.57,0.4,0,0.22,2.19,0.72,3.14,30.55,65.6,69.32,28.87|28.5|30.21|31.82|30.89|,2020/8,N,N,N
2365,昆盈,未知,0.65,0.38,0.05|0.52|0.07|0.09|,0.37,28.65,0.42,0,0.31,2.95,2.92,4.43,10.6,49.32,47.99,9.19|9.41|10.33|8.47|8.29|,2020/8,N,N,N
